molecule_chembl_id,canonical_smiles,standard_value,curated_smiles,pIC50,inchikey
CHEMBL4541580,COc1cc2c(cc1OC)CN(Cc1cccc(COc3ccc4ccc(=O)oc4c3)c1)CC2,770.0,COc1cc2c(cc1OC)CN(Cc1cccc(COc3ccc4ccc(=O)oc4c3)c1)CC2,6.113509274827518,QOKZZPBLVVZFTG-UHFFFAOYSA-N
CHEMBL5080016,COc1cc([C@H]2c3cnccc3C(=O)N3C[C@H](C(=O)c4ccccc4)NC[C@H]23)cc2c1OCO2,770.0,COc1cc([C@H]2c3cnccc3C(=O)N3C[C@H](C(=O)c4ccccc4)NC[C@H]23)cc2c1OCO2,6.113509274827518,DPBAYUINKCYTAM-VIZSFHNOSA-N
CHEMBL4795881,Cc1cc(Nc2ccc(F)c(Cl)c2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,770.0,Cc1cc(Nc2ccc(F)c(Cl)c2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,6.113509274827518,XSEFGOIPTZHCNL-UHFFFAOYSA-N
CHEMBL5088529,COc1cc([C@H]2c3cnccc3C(=O)N3C[C@@H](C(=O)c4ccccc4)NC[C@H]23)cc2c1OCO2,770.0,COc1cc([C@H]2c3cnccc3C(=O)N3C[C@@H](C(=O)c4ccccc4)NC[C@H]23)cc2c1OCO2,6.113509274827518,DPBAYUINKCYTAM-MZKRTTBSSA-N
CHEMBL5084699,COc1cc(C[C@H]2CN3C[C@@H]4[C@@H](c5ccccc5)c5c(cc6c(c5OC)OCO6)[C@@H]4[C@H]3CN2)cc2c1OCO2,770.0,COc1cc(C[C@H]2CN3C[C@@H]4[C@@H](c5ccccc5)c5c(cc6c(c5OC)OCO6)[C@@H]4[C@H]3CN2)cc2c1OCO2,6.113509274827518,WQECFXZCKUFACM-FERBAXHVSA-N
CHEMBL259690,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc4ccccc4cn3)cc1)CC2,776.25,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc4ccccc4cn3)cc1)CC2,6.109998386815364,RJSOUZKIJXBVSO-UHFFFAOYSA-N
CHEMBL4647036,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4cc(O)c(-c5ccccn5)c(O)c4)nc3)cc1)CC2,780.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4cc(O)c(-c5ccccn5)c(O)c4)nc3)cc1)CC2,6.107905397309519,DJLPXIBLGXRMRA-XYOKQWHBSA-N
CHEMBL1112,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,780.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,6.107905397309519,CEUORZQYGODEFX-UHFFFAOYSA-N
CHEMBL4751608,Cc1cc(Nc2c(F)cccc2F)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,790.0,Cc1cc(Nc2c(F)cccc2F)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,6.102372908709558,XNKBKBXPQZOMIJ-UHFFFAOYSA-N
CHEMBL5088766,COc1cc([C@H]2c3ccccc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,800.0,COc1cc([C@H]2c3ccccc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,6.096910013008056,XXMYEEZJCBJUQK-XLIONFOSSA-N
CHEMBL487960,COc1cccc(CCc2ccccc2OCCN2CCN(C)CC2)c1,800.0,COc1cccc(CCc2ccccc2OCCN2CCN(C)CC2)c1,6.096910013008056,QNUFXAULMIMQGB-UHFFFAOYSA-N
CHEMBL3808745,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)CCCCCCCCC(=O)O[C@H]4C=C[C@@]56CN(C)CCc7ccc(OC)c(c75)O[C@H]6C4)C=C[C@@]31CN(C)CC2,800.0,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)CCCCCCCCC(=O)O[C@H]4C=C[C@@]56CN(C)CCc7ccc(OC)c(c75)O[C@H]6C4)C=C[C@@]31CN(C)CC2,6.096910013008056,KFHVPQSLLUJBGB-RMZLRQEBSA-N
CHEMBL1423,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,800.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.096910013008056,YVUQSNJEYSNKRX-UHFFFAOYSA-N
CHEMBL248480,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1NC(=O)c1cnc2ccccc2c1,812.83,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1NC(=O)c1cnc2ccccc2c1,6.090000275786018,ZITINVMPJYNKEP-UHFFFAOYSA-N
CHEMBL4641108,COc1c2c(cc3c1[C@H](c1ccccc1)[C@@]1(O)C(=O)N4C[C@H](Cc5ccccc5)N(C(C)=O)C[C@@H]4[C@@H]31)OCO2,820.0,COc1c2c(cc3c1[C@H](c1ccccc1)[C@@]1(O)C(=O)N4C[C@H](Cc5ccccc5)N(C(C)=O)C[C@@H]4[C@@H]31)OCO2,6.086186147616283,HPVOHQVKBZIFOZ-MPPANQFJSA-N
CHEMBL4637809,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)c(O)c4)nc3)cc1)CC2,820.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3ccc(Oc4ccc(-c5ccccn5)c(O)c4)nc3)cc1)CC2,6.086186147616283,HYNJRYIKCHORCU-RIYZIHGNSA-N
CHEMBL4643278,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3c(-c4ccccc4)n(C)c4ncccc34)cc1)CC2,820.0,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)/C=C/c3c(-c4ccccc4)n(C)c4ncccc34)cc1)CC2,6.086186147616283,IWVRAZGXUGXZDE-FOCLMDBBSA-N
CHEMBL5087844,COc1cc([C@H]2c3ccncc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,840.0,COc1cc([C@H]2c3ccncc3C(=O)N3C=CN(C(C)=O)C[C@H]23)cc2c1OCO2,6.075720713938118,YQHWCEGBVLAGAR-APWZRJJASA-N
